,Unnamed: 0,序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
10565,47,48.0,503,国新健康,10.055866241455078,9.85,346941200.0,8852982330.199999,8936069720.0,4.023628234863281,18855608.0,105251,131230,5.0,1/1,1.0,软件开发,20220811
10609,20,21.0,503,国新健康,10.050762176513672,10.84,427046320.0,9742774462.88,9834212768.0,4.5321044921875,39178177.0,94757,94830,1.0,2/2,2.0,软件开发,20220812
897,15,16.0,948,南天信息,9.993247985839844,16.29,521630400.0,5449034892.15,6209188927.2,9.667665481567385,48320847.0,93327,103203,4.0,1/1,1.0,软件开发,20220121
942,11,12.0,948,南天信息,10.006138801574709,17.92,434799648.0,5994272883.200001,6830488985.6,7.479573726654053,118967815.0,93321,93321,0.0,2/2,2.0,软件开发,20220124
1331,34,35.0,948,南天信息,10.034602165222168,15.9,398595440.0,5318641186.5,6270732057.6,7.767719268798828,84073953.0,94609,94609,0.0,1/1,1.0,软件开发,20220209
3887,55,56.0,948,南天信息,9.978768348693848,15.54,272891312.0,5198219121.9,6128753218.559999,5.450170993804932,61646667.0,104754,104754,0.0,1/1,1.0,软件开发,20220406
3978,32,33.0,948,南天信息,9.986504554748535,16.3,540512992.0,5452443480.5,6428486323.2,10.317781448364258,52861715.0,103136,103136,0.0,3/2,1.0,软件开发,20220408
7439,43,44.0,948,南天信息,9.99131202697754,12.66,254866102.0,4234842605.1,4992922506.24,6.147316932678223,28506357.0,100927,102748,3.0,1/1,1.0,软件开发,20220613
8596,56,57.0,2063,远光软件,9.957324981689451,7.73,558608960.0,9418872662.4,10226661125.44,6.052726745605469,14512533.0,134339,143612,2.0,1/1,1.0,软件开发,20220701
1340,43,44.0,2065,东华软件,10.0,8.03,701669984.0,25017323471.25,25740023415.04,2.8762753009796143,33624581.0,101054,104642,2.0,1/1,1.0,软件开发,20220209
986,55,56.0,2153,石基信息,10.016806602478027,32.73,348628080.0,28762365187.68,49080502442.88,1.2581766843795776,53546509.0,143409,143409,0.0,1/1,1.0,软件开发,20220124
5009,117,118.0,2153,石基信息,10.018439292907717,17.9,95757151.0,15730105006.4,26842071302.4,0.6258577704429626,8584571.0,130433,133739,3.0,1/1,1.0,软件开发,20220429
691,65,66.0,2178,延华智能,10.079051971435549,5.57,489120432.0,3961699351.12,3966692254.56,12.718510627746582,40839240.0,102615,103254,3.0,1/1,1.0,软件开发,20220117
792,11,12.0,2178,延华智能,10.0,6.38,1145387840.0,4537817210.08,4543536191.04,27.457263946533203,18865660.0,93048,150000,2.0,3/2,1.0,软件开发,20220119
1776,19,20.0,2178,延华智能,10.0,5.28,193229456.0,3755434932.48,3760167882.24,5.252464294433594,49310976.0,93533,93533,0.0,1/1,1.0,软件开发,20220218
1827,18,19.0,2178,延华智能,10.03787899017334,5.81,289701824.0,4132400938.96,4137608976.48,7.092271327972412,72771993.0,93018,93200,2.0,2/2,2.0,软件开发,20220221
1913,3,4.0,2178,延华智能,9.9827880859375,6.39,101377829.0,4544929776.24,4550657721.12,2.230569839477539,104612766.0,92500,92500,0.0,3/3,3.0,软件开发,20220222
2278,33,34.0,2178,延华智能,10.03787899017334,5.81,351501568.0,4132400938.96,4137608976.48,8.832035064697266,83233856.0,95936,95936,0.0,1/1,1.0,软件开发,20220302
2429,44,45.0,2178,延华智能,10.016977310180664,6.48,951895776.0,4608942871.68,4614751491.84,21.821468353271484,26655000.0,143300,144500,3.0,3/2,1.0,软件开发,20220304
3189,83,84.0,2178,延华智能,10.064934730529783,6.78,990007024.0,4822319856.4800005,4828397394.24,20.96001243591309,16092160.0,103857,141854,5.0,1/1,1.0,软件开发,20220321
7949,68,69.0,2178,延华智能,10.107526779174805,5.12,274019296.0,3641173073.92,3646223400.96,7.977930068969727,242223104.0,135430,135706,1.0,1/1,1.0,软件开发,20220622
7963,10,11.0,2178,延华智能,9.9609375,5.63,743151328.0,4003868048.08,4009421435.04,18.81234359741211,19792293.0,93106,131121,5.0,2/2,2.0,软件开发,20220623
7806,74,75.0,2230,科大讯飞,9.992233276367188,42.49,1991803776.0,89420444898.54001,98736255792.16,2.3136165142059326,193714671.0,130448,130448,0.0,1/1,1.0,软件开发,20220620
8044,91,92.0,2253,川大智胜,9.991602897644045,13.1,219341804.0,2716428693.9,2955701844.5,8.253621101379395,6496696.0,135854,142227,2.0,1/1,1.0,软件开发,20220623
9494,53,54.0,2253,川大智胜,10.023130416870115,14.27,426163344.0,2959041027.63,3219684375.65,14.715723037719728,76136158.0,110600,130000,2.0,1/1,1.0,软件开发,20220720
6453,23,24.0,2261,拓维信息,10.05290985107422,6.24,114636097.0,6963647832.96,7787630323.2,1.6649370193481443,44617666.0,93351,93351,0.0,1/1,1.0,软件开发,20220525
9432,73,74.0,2261,拓维信息,10.016155242919922,6.81,644601024.0,7599477089.28,8552186500.799999,8.699624061584473,39062929.0,134709,135945,5.0,1/1,1.0,软件开发,20220719
2261,16,17.0,2279,久其软件,10.079051971435549,5.57,92418187.0,3571979044.8900003,3957752538.24,2.626767158508301,66695374.0,93718,93718,0.0,1/1,1.0,软件开发,20220302
2718,16,17.0,2279,久其软件,10.0,5.61,173398326.0,3597630599.9700003,3986174459.520001,4.940402030944824,70648699.0,93733,93733,0.0,1/1,1.0,软件开发,20220314
4459,0,1.0,2279,久其软件,10.044642448425291,4.93,44021794.0,3169432836.05,3503082413.12,1.388948678970337,85769822.0,92500,92500,0.0,1/1,1.0,软件开发,20220420
3469,36,37.0,2280,联络互动,10.06289291381836,3.5,95667668.0,6191456400.5,7620023880.0,1.5936493873596191,68251890.0,94330,94330,0.0,1/1,1.0,软件开发,20220325
3571,1,2.0,2280,联络互动,10.115607261657717,3.81,338930544.0,6739842538.83,8294940280.8,5.033607006072998,62556115.0,92500,103027,2.0,3/2,1.0,软件开发,20220329
3655,29,30.0,2280,联络互动,9.973752975463867,4.19,591575072.0,7412057805.170001,9122257159.2,8.398426055908203,57655028.0,94948,94948,0.0,4/3,2.0,软件开发,20220330
3757,51,52.0,2280,联络互动,10.023866653442385,4.61,1156687232.0,8155032573.23,10036660024.8,15.033345222473145,5236268.0,135545,135545,0.0,5/4,3.0,软件开发,20220331
3924,10,11.0,2280,联络互动,10.123456954956056,4.46,457207936.0,7889684441.78,9710087572.8,5.9005045890808105,39713958.0,93642,94930,2.0,8/5,1.0,软件开发,20220407
5011,119,120.0,2280,联络互动,10.094637870788574,3.49,222464309.0,6255600575.55,7598252383.200001,3.849056243896485,46177380.0,130657,130657,0.0,1/1,1.0,软件开发,20220429
8696,13,14.0,2280,联络互动,9.887005805969238,3.89,592923696.0,6972574853.55,8469112255.2,8.610274314880371,33190565.0,93657,144442,2.0,1/1,1.0,软件开发,20220705
10971,27,28.0,2280,联络互动,10.0,3.52,507874208.0,6309373646.4,7663566873.6,8.143159866333008,4038144.0,94903,142257,11.0,1/1,1.0,软件开发,20220819
1514,15,16.0,2298,中电兴发,9.97150993347168,7.72,208879181.0,4564279789.44,5713656117.12,4.614419937133789,61172091.0,93121,93745,1.0,1/1,1.0,软件开发,20220214
9565,39,40.0,2298,中电兴发,10.027854919433594,7.9,673957968.0,4670700820.8,5846876078.400001,14.785834312438965,47905600.0,104157,112842,5.0,1/1,1.0,软件开发,20220721
1730,18,19.0,2322,理工能科,10.028653144836426,11.52,85845596.0,4192338332.16,4429400186.88,2.1082324981689453,45423383.0,94242,94242,0.0,1/1,1.0,软件开发,20220217
10434,62,63.0,2322,理工能科,9.955751419067385,9.94,122947116.0,3617347484.52,3821895647.36,3.546409845352173,50062899.0,142315,142727,1.0,1/1,1.0,软件开发,20220809
2967,64,65.0,2362,汉王科技,10.034364700317385,16.01,92607156.0,3301749888.74,3913718882.460001,2.895547389984131,36113740.0,102633,102633,0.0,1/1,1.0,软件开发,20220317
8760,37,38.0,2362,汉王科技,9.970458030700684,14.89,192242523.0,3077923752.44,3639929678.94,6.370362758636475,72268302.0,104136,104136,0.0,1/1,1.0,软件开发,20220706
8779,3,4.0,2362,汉王科技,10.006715774536133,16.38,266460224.0,3385922838.48,4004167101.48,7.873129844665527,56389312.0,92500,100815,1.0,2/2,2.0,软件开发,20220707
9805,60,61.0,2362,汉王科技,10.028247833251951,15.58,224609521.0,3220554201.68,3808603384.68,7.179886341094971,68531746.0,130042,132127,1.0,1/1,1.0,软件开发,20220727
9868,37,38.0,2362,汉王科技,10.012836456298828,17.14,500984768.0,3543023043.44,4189952632.44,14.43362522125244,54685170.0,95554,95730,1.0,2/2,2.0,软件开发,20220728
9943,29,30.0,2362,汉王科技,9.976662635803224,18.85,836215424.0,3896498504.6,4607970077.1,21.931095123291016,54589034.0,94930,112551,2.0,3/3,3.0,软件开发,20220729
8054,101,102.0,2405,四维图新,9.992486953735352,14.64,1924659520.0,33097498291.2,34722670636.8,5.98124361038208,112545131.0,141906,141906,0.0,1/1,1.0,软件开发,20220623
10860,64,65.0,2405,四维图新,10.014410018920898,15.27,3139261072.0,34548220742.46,36216883922.4,9.445770263671877,196109097.0,142315,142315,0.0,1/1,1.0,软件开发,20220817
5059,167,168.0,2410,广联达,10.00239372253418,45.97,359244832.0,45709596177.41,54722120178.56,0.822178840637207,6208478.0,135848,135848,0.0,1/1,1.0,软件开发,20220429
6736,49,50.0,2410,广联达,9.99138641357422,51.08,454630768.0,50790649831.24,60805001059.84,0.91327166557312,36721412.0,102121,105318,1.0,1/1,1.0,软件开发,20220530
6044,6,7.0,2528,英飞拓,10.130719184875488,3.37,59313054.0,3526500275.87,4039535046.56,1.6819239854812622,45250338.0,92500,92500,0.0,1/1,1.0,软件开发,20220518
8228,61,62.0,2528,英飞拓,10.115607261657717,3.81,204239560.0,3986933546.31,4566952085.28,5.296101093292236,45726675.0,102139,102139,0.0,1/1,1.0,软件开发,20220627
8468,12,13.0,2528,英飞拓,10.055866241455078,3.94,73682438.0,4122970648.94,4722779846.72,1.820280194282532,81962638.0,93239,93239,0.0,4/2,1.0,软件开发,20220630
8595,55,56.0,2528,英飞拓,9.898476600646973,4.33,430427472.0,4531081956.83,5190263131.04,9.967711448669434,63378097.0,133557,133557,0.0,5/3,2.0,软件开发,20220701
8611,7,8.0,2528,英飞拓,9.930715560913086,4.76,185312163.0,4981050834.76,5705693418.88,3.7203428745269775,99311559.0,93000,93000,0.0,6/4,3.0,软件开发,20220704
640,14,15.0,2987,京北方,10.0,42.57,118327479.0,3958189080.12,9575156608.38,3.005460739135742,106784333.0,93006,93006,0.0,1/1,1.0,软件开发,20220117
979,48,49.0,2987,京北方,9.99535083770752,47.32,993316608.0,4399847481.12,10643561444.88,23.21935272216797,13674202.0,132415,143027,10.0,1/1,1.0,软件开发,20220124
1333,36,37.0,2987,京北方,10.007450103759766,44.3,814035264.0,4119045718.8,9964280896.2,20.111467361450195,22591228.0,94803,105930,4.0,1/1,1.0,软件开发,20220209
6368,77,78.0,2987,京北方,9.99428939819336,19.26,122262399.0,2509417217.52,6064940718.72,5.132106304168701,73522507.0,131400,131400,0.0,1/1,1.0,软件开发,20220523
6465,35,36.0,2987,京北方,10.005322456359863,20.67,320402704.0,2693128446.84,6508947282.240001,12.207115173339844,42243320.0,94539,104657,1.0,3/2,1.0,软件开发,20220525
10233,23,24.0,2987,京北方,10.0204496383667,21.52,219828935.0,2803876351.04,6776610813.44,8.055340766906738,51051250.0,100406,100406,0.0,1/1,1.0,软件开发,20220805
1365,68,69.0,3007,直真科技,9.988518714904783,19.16,56402117.0,706847980.12,1992640000.0,8.184730529785156,34640724.0,130000,130000,0.0,1/1,1.0,软件开发,20220209
1769,12,13.0,3007,直真科技,10.010940551757812,20.11,58358104.0,741895244.27,2091440000.0,7.93928050994873,39821620.0,93100,93100,0.0,1/1,1.0,软件开发,20220218
1812,3,4.0,3007,直真科技,9.995027542114258,22.12,27119717.0,816047876.84,2300480000.0,3.3232998847961426,74315966.0,92500,92500,0.0,2/2,2.0,软件开发,20220221
1930,20,21.0,3007,直真科技,9.990958213806152,24.33,409119440.0,897578880.81,2530320000.0,46.01079940795898,13511665.0,93109,131339,6.0,3/3,3.0,软件开发,20220222
1963,3,4.0,3007,直真科技,9.987668991088867,26.76,89203122.0,987226093.32,2783040000.0,9.035734176635742,155870310.0,92500,92500,0.0,4/4,4.0,软件开发,20220223
