,序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
29,30,603982,泉峰汽车,9.979317665100098,21.27,580835408,1063500000.0,4254000000.0,56.81215286254883,51331954500,111345,143210,3,3/3,3,汽车行业
30,31,000673,当代东方,10.085836410522461,5.13,453253440,4050188136.54,4060653798.24,11.715291023254395,41545818000,130800,130800,0,1/1,1,文化传媒
31,32,600641,万业企业,10.014513969421387,15.16,428213552,12221366619.68,12221366680.32,3.5924582481384277,3971753240,132913,145643,4,1/1,1,房地产
32,33,603421,鼎信通讯,10.006176948547363,17.81,292294976,8269405001.65,8357268980.32,3.6309280395507812,15868710000,132959,142314,2,1/1,1,通讯行业
33,34,002077,大港股份,9.979633331298828,5.4,147132734,2919253905.0,3133881964.8,5.265939235687256,28763640000,134139,134139,0,1/1,1,房地产
34,35,002855,捷荣技术,10.009099960327148,12.09,100562175,1008306000.0,3040367811.0,10.340270042419434,16836534000,135448,135448,0,1/1,1,塑胶制品
35,36,300115,长盈精密,9.993792533874512,17.72,1023917712,16044077875.439999,16122723736.32,6.613781929016113,68221787360,140457,140457,0,1/1,1,电子元件
36,37,002961,瑞达期货,10.0,40.15,1004482224,1806750000.0,17866750000.0,58.4659309387207,83315666500,141854,145445,3,1/1,1,多元金融
0,1,002416,爱施德,9.985527992248535,7.6,54283212,9297354018.0,9418541740.8,0.5838565826416016,77973507200,092503,092503,0,2/2,2,商业百货
1,2,002968,新大正,9.995710372924805,51.28,22083424,918459003.76,3673835963.76,2.4043996334075928,153965943680,092503,092503,0,4/4,4,房地产
2,3,002969,嘉美包装,9.957324981689453,7.73,4236140,736383763.0,7363835589.280001,0.5752626061439514,80941502510,092503,092503,0,5/5,5,包装材料
3,4,300399,京天利,10.0,12.76,19523106,1710545155.8799999,2521376000.0,1.1413382291793823,24767236560,092503,092503,0,1/1,1,电子信息
4,5,300400,劲拓股份,10.008070945739746,13.63,167104620,2338435761.3900003,3325635494.0,7.146578311920166,55958619240,092503,093236,1,2/2,2,机械行业
5,6,300803,指南针,10.0,34.21,93824072,1946549000.0,13855050000.0,4.820021152496338,284448486960,092503,092503,0,15/15,15,软件服务
6,7,300806,斯迪克,10.002874374389648,38.27,6012217,1117866700.0,4471423899.33,0.5378295183181763,153711455000,092503,092503,0,10/10,10,材料行业
7,8,300808,久量股份,10.008591651916504,25.61,3322308,1024400000.0,4097600000.0,0.3243175148963928,118419948530,092503,092503,0,6/6,6,电子元件
8,9,300809,华辰装备,9.989909172058105,32.7,602109824,1282821000.0,5131284000.0,48.580596923828125,78983841600,092503,111003,1,3/3,3,机械行业
9,10,300810,N中科,43.98373794555664,35.42,3197435,697774000.0,2787554000.0,0.4604974687099457,109702186440,092503,092503,0,1/1,1,电子信息
10,11,600712,南宁百货,10.103093147277832,5.34,10933864,2874413763.54,2908459622.4,0.3803858757019043,76190372400,092503,092503,0,3/3,3,商业百货
11,12,002795,永和智控,10.0,14.63,48427770,2926000000.0,2926000000.0,1.661950945854187,35261196740,093000,093000,0,1/1,1,机械行业
12,13,002713,东易日盛,9.971909523010254,7.83,56535730,3142447952.67,3284974522.08,1.8018913269042969,104262220710,093003,093809,1,2/2,2,装修装饰
13,14,300798,锦鸡股份,10.010649681091309,20.66,679382240,863174800.0,8630693183.04,80.07003021240234,13229548360,093015,133348,3,11/11,11,化工行业
14,15,000417,合肥百货,10.067113876342773,4.92,186860461,3832815058.92,3837030303.36,4.894698619842529,37207790280,093018,100854,7,1/1,1,商业百货
15,16,300019,硅宝科技,9.952607154846191,9.28,87950999,2528331007.3599997,3070770114.56,3.4811930656433105,24480714240,093100,094521,2,1/1,1,化工行业
16,17,603330,上海天洋,10.007305145263672,15.06,47223803,664641579.4200001,1644552000.0,7.178167343139648,20388468960,093155,093155,0,1/1,1,塑胶制品
17,18,300278,华昌达,10.077519416809082,4.26,53968270,1234173137.04,2544001318.08,4.431987762451172,13188960000,093442,093442,0,1/1,1,机械行业
18,19,002288,超华科技,10.067113876342773,4.92,158832536,3726470961.24,4583687220.48,4.326365947723389,45202898520,093603,093603,0,1/1,1,电子元件
19,20,300277,海联讯,10.039761543273926,11.07,341409760,3701704218.75,3708450000.0,9.375174522399902,20750715000,094712,105400,9,1/1,1,软件服务
20,21,600821,津劝业,9.905660629272461,4.66,66340376,1939809928.5,1939809923.8400002,3.452672243118286,3618956000,095234,100525,4,1/1,1,商业百货
21,22,002351,漫步者,9.98953914642334,21.03,1191446960,6126905436.0,12465848118.24,19.74912452697754,91793847000,095657,103848,2,7/4,3,电子信息
22,23,002577,雷柏科技,9.967845916748047,13.68,369161120,3840837990.48,3869798400.0,9.956162452697754,44271968400,102842,102903,1,2/2,2,电子信息
23,24,300102,乾照光电,9.977324485778809,4.85,154614472,3431378933.35,3490076063.2,4.700578212738037,50543314700,110439,110439,0,1/1,1,电子元件
24,25,002343,慈文传媒,10.06369400024414,8.64,119162865,3476651414.4,4103565235.2000003,3.5350136756896973,35216484480,110524,110524,0,1/1,1,文化传媒
25,26,300494,盛天网络,10.0,15.51,382396320,2294195384.25,3722400000.0,17.30844497680664,34859298870,111236,111236,0,1/1,1,电子信息
26,27,600576,祥源文化,10.04672908782959,4.71,48430565,2476885215.15,2917385379.36,2.0182271003723145,20084330190,111606,111606,0,1/1,1,文化传媒
27,28,002655,共达电声,10.006854057312012,16.05,1249351984,5778000000.0,5778000000.0,22.289426803588867,41690709600,112136,130136,3,1/1,1,电子元件
28,29,300426,唐德影视,10.035211563110352,6.25,48594133,1543083187.5,2629843800.0,3.2791175842285156,65636981250,130200,130200,0,1/1,1,文化传媒
29,30,002681,奋达科技,9.942638397216797,5.75,821234208,6207654005.75,11692017616.0,13.86203384399414,26003069750,131109,131109,0,1/1,1,家电行业
30,31,603626,科森科技,10.0,9.24,99664009,1461165893.88,3815517847.6800003,7.015013217926025,35667591960,131834,131834,0,1/1,1,金属制品
31,32,300643,万通智控,10.017472267150879,18.89,866906000,1581753035.49,3778000000.0,56.371089935302734,19199871560,132203,144524,4,6/6,6,汽车行业
32,33,000835,长城动漫,10.087719917297363,5.02,289209392,1520532899.9999998,1640337047.36,19.983068466186523,10714688000,132621,134615,6,14/7,1,文化传媒
33,34,000673,当代东方,9.941520690917969,5.64,695169632,4452838419.12,4464344526.719999,16.134048461914062,42032844480,133036,133036,0,2/2,2,文化传媒
34,35,300773,拉卡拉,10.0,56.76,427164160,2270967600.0,22704567600.0,19.251934051513672,20388192000,133321,143606,1,1/1,1,软件服务
35,36,000026,飞亚达Ａ,10.0,9.13,283694192,3256820439.84,4044305874.4000006,8.875885963439941,1091911480,133336,145439,23,1/1,1,珠宝首饰
36,37,002656,摩登大道,10.14084529876709,3.91,105660758,1883342958.8100002,2785952574.4,5.865659713745117,18222633200,133757,133757,0,1/1,1,纺织服装
37,38,000037,深南电A,10.008481979370117,12.97,87276669,4395455335.64,7817830818.240001,2.034090280532837,11274821000,135909,145054,3,1/1,1,电力行业
38,39,002502,鼎龙文化,9.907120704650879,3.55,380694336,2485144318.15,3052392524.0,16.03363609313965,11370156550,141233,142300,3,1/1,1,文化传媒
39,40,603690,至纯科技,10.004331588745117,25.4,277485344,2341270400.0,6576277373.2,12.550714492797852,42420565400,141234,141234,0,1/1,1,专用设备
40,41,300133,华策影视,10.0,6.6,291152272,9116058336.0,11587446393.599998,3.3255136013031006,6136152000,142115,145406,1,1/1,1,文化传媒
41,42,000936,华西股份,9.967845916748047,6.84,302242912,6055706030.76,6060328099.2,5.102664947509766,20902356000,143209,143209,0,1/1,1,化纤行业
42,43,600095,哈高科,10.039629936218262,8.33,304105008,3009325496.45,3009325521.44,10.51382064819336,16051118650,143305,145132,1,1/1,1,房地产
43,44,300223,北京君正,10.00706672668457,77.83,1387731984,9918281771.66,15669324617.44,14.704628944396973,30915866090,143651,145106,3,1/1,1,电子元件
44,45,601872,招商轮船,10.050251007080078,6.57,562331104,34817439795.840004,39857645675.520004,1.6922078132629395,70483984920,144834,144834,0,1/1,1,港口水运
45,46,002273,水晶光电,10.0,15.73,1684078416,17047785720.68,17715971393.12,10.174728393554688,133777971470,145239,145239,0,1/1,1,电子元件
0,1,600712,南宁百货,9.925093650817871,5.87,7517292,3159702020.9700003,3197126963.2000003,0.2379114329814911,121009879770,092501,092501,0,4/4,4,商业百货
1,2,002968,新大正,10.003900527954102,56.41,14092628,1010340725.4699999,4041362845.47,1.3948391675949097,176155737750,092503,092503,0,5/5,5,房地产
2,3,002969,嘉美包装,9.961190223693848,8.5,4289227,809736350.0,8097361256.0,0.5297066569328308,82681072500,092503,092503,0,6/6,6,包装材料
3,4,300806,斯迪克,10.00783920288086,42.1,8565245,1229741000.0,4918916805.900001,0.6965080499649048,135071535000,092503,092503,0,11/11,11,材料行业
4,5,300808,久量股份,9.996095657348633,28.17,4050367,1126800000.0,4507200000.0,0.35945749282836914,171409294890,092503,092503,0,7/7,7,电子元件
5,6,300810,中科海讯,9.994353294372559,38.96,880496,767512000.0,3066152000.0,0.11472081393003464,123569432000,092503,092503,0,2/2,2,电子信息
6,7,300399,京天利,10.031347274780273,14.04,157628599,1882135892.52,2774304000.0,8.545191764831543,47904592320,093003,101200,1,2/2,2,电子信息
7,8,600576,祥源文化,9.978768348693848,5.18,151886700,2724047858.7,3208504514.8799996,5.601632118225098,32713046800,093004,093840,3,2/2,2,文化传媒
8,9,603330,上海天洋,10.02656078338623,16.57,54064998,731282268.99,1809444000.0,7.502259254455566,33786511690,093018,093018,0,2/2,2,塑胶制品
9,10,002196,方正电机,9.979633331298828,5.4,32319686,1998716806.8000002,2530952611.2000003,1.633177638053894,19044730800,093036,093036,0,1/1,1,机械行业
10,11,300400,劲拓股份,9.977989196777344,14.99,145148518,2571764641.4700003,3657467062.0,5.7394208908081055,80104221560,093151,093151,0,3/3,3,机械行业
11,12,002504,弘高创意,10.13513469696045,3.26,43544481,1351429645.4599998,3344109721.2799997,3.2787485122680664,28347271320,093312,093312,0,1/1,1,装修装饰
12,13,300803,指南针,9.997076988220215,37.63,1181112608,2141147000.0000002,15240150000.000002,55.98377227783203,115100423830,093315,093315,0,16/16,16,软件服务
13,14,002577,雷柏科技,10.014619827270508,15.05,255056964,4225483315.55,4257344000.0,6.14051628112793,41050109100,094036,094121,1,3/3,3,电子信息
14,15,300061,康旗股份,9.983360290527344,6.61,51763891,3146627850.42,4474401645.76,1.6918026208877563,32906787740,094100,094100,0,1/1,1,文化传媒
15,16,002351,漫步者,9.985734939575195,23.13,2042926960,6738721956.0,13710654635.039999,30.662551879882812,100280115000,094430,145312,17,8/5,4,电子信息
16,17,300507,苏奥传感,9.968101501464844,13.79,131726673,1797861307.4099998,3036251862.0,7.648556232452393,46221777070,095003,095003,0,1/1,1,汽车行业
17,18,300183,东软载波,10.0,14.41,261340677,3865498740.07,6764504514.24,7.001718521118164,30490119000,102339,102339,0,1/1,1,电子信息
18,19,600844,丹化科技,9.960159301757812,5.52,119508578,4541473099.679999,5611213804.799999,2.652296781539917,678750240,103240,143827,6,1/1,1,化工行业
19,20,300091,金通灵,10.077519416809082,4.26,285347376,3533883903.12,5240926957.44,8.393698692321777,29084591940,103624,103624,0,1/1,1,机械行业
20,21,300468,四方精创,9.996846199035645,34.88,1188825024,6497553969.92,6591212943.68,18.812440872192383,15540156160,104803,144648,5,1/1,1,软件服务
21,22,000673,当代东方,9.929078102111816,6.2,728383552,4894964219.6,4907612777.6,15.291601181030273,25927333600,105509,130500,1,8/4,3,文化传媒
22,23,300797,钢研纳克,9.986624717712402,24.67,760525120,1530773500.0,6123094000.0,51.86164855957031,88928738440,131954,144127,2,27/17,1,专用设备
23,24,000859,国风塑业,10.056926727294922,5.8,593600336,4288012384.0,4288808422.4,14.52071762084961,45202085400,134757,134757,0,1/1,1,塑胶制品
24,25,000835,长城动漫,9.960159301757812,5.52,348257120,1671980399.9999998,1803717231.36,21.80691146850586,8257914480,134924,135027,1,15/8,2,文化传媒
25,26,600678,四川金顶,10.015649795532227,7.03,388957104,2453399700.0,2453399700.0,16.635848999023438,47148325960,135855,135855,0,1/1,1,水泥建材
26,27,603028,赛福天,10.0,11.22,42675933,2477376000.0,2477376000.0,1.7800289392471313,4942410000,144406,144406,0,1/1,1,金属制品
27,28,600615,丰华股份,10.010427474975586,10.55,166260211,1979438559.4,1983616359.4,8.771185874938965,3993175000,144933,145421,2,1/1,1,金属制品
28,29,000007,全新好,10.0,10.56,144607613,3262491344.6400003,3658491386.88,4.611898899078369,16605600000,145036,145230,2,1/1,1,房地产
0,1,600712,南宁百货,10.051107406616211,6.46,11076788,3477287062.2599998,3518473625.6,0.3185468316078186,210598112420,092502,092502,0,5/5,5,商业百货
1,2,002196,方正电机,10.0,5.94,30059655,2198588487.48,2784047872.32,1.367225170135498,36391124880,092503,092503,0,2/2,2,机械行业
2,3,002968,新大正,9.9982271194458,62.05,20251816,1111356887.35,4445427487.349999,1.8222604990005493,140643833050,092503,092503,0,6/6,6,房地产
3,4,002969,嘉美包装,10.0,9.35,3171108,890709985.0,8907097381.6,0.35602033138275146,79097671400,092503,092503,0,7/7,7,包装材料
4,5,300806,斯迪克,10.0,46.31,7231399,1352715100.0,5410808486.490001,0.5345840454101562,193610439880,092503,092503,0,12/12,12,材料行业
5,6,300808,久量股份,10.010649681091309,30.99,5827359,1239600000.0,4958400000.0,0.4700999855995178,215472230400,092503,092503,0,8/8,8,电子元件
6,7,300810,中科海讯,10.01026725769043,42.86,865772,844342000.0,3373082000.0,0.10253807157278061,95294924000,092503,092503,0,3/3,3,电子信息
7,8,300507,苏奥传感,10.007251739501953,15.17,190890580,1977777812.43,3340097226.0,9.793761253356934,66626215240,093209,093333,1,2/2,2,汽车行业
8,9,002888,惠威科技,9.987410545349121,26.21,190073217,932449581.0,3267768444.0,20.848474502563477,49875402150,093415,093415,0,1/1,1,电子信息
9,10,000859,国风塑业,10.0,6.38,965689008,4716813622.4,4717689264.64,20.843870162963867,39839884480,093503,133709,4,2/2,2,塑胶制品
10,11,603555,贵人鸟,10.023866653442383,4.61,77653947,2897855879.23,2897855883.84,2.755650758743286,21980475390,094145,094145,0,1/1,1,纺织服装
11,12,603023,威帝股份,10.019646644592285,5.6,174801915,2495220246.3999996,2495220224.0,7.249663829803467,32212745600,094449,094449,0,6/4,1,汽车行业
12,13,002631,德尔未来,10.014103889465332,7.8,82253302,5084249203.8,5218543200.0,1.658745288848877,26601432000,094551,094551,0,1/1,1,木业家具
13,14,000068,华控赛格,10.077519416809082,4.26,91303225,4288420436.64,4288420470.72,2.190520763397217,33234875640,094745,094745,0,1/1,1,环保工程
14,15,600678,四川金顶,9.957324981689453,7.73,666687104,2697692700.0,2697692700.0,25.22292137145996,13865525170,094846,143109,7,12/6,2,水泥建材
15,16,603318,派思股份,10.008935928344727,12.31,484223360,4950617629.87,4950617568.320001,10.07422161102295,51876666590,095124,101639,1,1/1,1,机械行业
16,17,300096,易联众,10.010213851928711,10.77,441586736,4055142790.83,4631100000.0,11.073975563049316,40499508000,095130,105421,4,1/1,1,软件服务
17,18,600105,永鼎股份,10.112359046936035,4.9,586201312,6067546618.0,6102508372.8,9.889452934265137,26953361400,095552,142457,1,1/1,1,通讯行业
18,19,603718,海利生物,10.0,13.2,161793754,8500800000.0,8500800000.0,1.938065528869629,10315140000,095758,112752,5,1/1,1,农药兽药
19,20,300797,钢研纳克,10.012160301208496,27.14,770693744,1684037000.0,6736148000.0,47.30168533325195,79114565560,100200,101457,3,28/18,2,专用设备
20,21,002432,九安医疗,9.91735553741455,5.32,203879980,2302527499.7200003,2302527494.4,8.887845993041992,7020649720,100545,134057,15,1/1,1,医疗行业
21,22,002079,苏州固锝,9.963099479675293,8.94,574678272,6491638031.5199995,6508065102.719999,9.234435081481934,58937906580,103318,103318,0,1/1,1,电子元件
22,23,002351,漫步者,9.987030029296875,25.44,1584708976,7411720128.0,15079941803.52,22.149415969848633,105726426720,103503,104630,5,9/6,5,电子信息
23,24,000802,北京文化,10.046189308166504,9.53,289096960,6778572305.15,6822529439.679999,4.450393199920654,43066060470,111112,111112,0,1/1,1,文化传媒
24,25,002343,慈文传媒,9.957173347473145,10.27,320876432,4132547456.7,4877733213.599999,8.16383171081543,18231488860,111533,111533,0,3/2,1,文化传媒
25,26,600576,祥源文化,10.038609504699707,5.7,374363728,2997504400.5,3530593771.2000003,13.1156587600708,58637598600,112210,142717,5,3/3,3,文化传媒
26,27,002593,日上集团,9.944750785827637,3.98,132289575,1859145082.4,2790417800.0,7.38929557800293,15072634120,112803,112803,0,1/1,1,钢铁行业
27,28,603005,晶方科技,9.993715286254883,35.0,641806608,8038780925.0,8038780925.0,8.296238899230957,57036000000,112928,112928,0,1/1,1,电子元件
28,29,002036,联创电子,10.031152725219727,17.66,1158195072,12549002658.32,12632046830.4,9.66256046295166,46260016800,130503,130503,0,1/1,1,电子信息
29,30,300303,聚飞光电,9.948979377746582,4.31,401749728,4894515898.78,5510923573.599999,8.519247055053711,25708046640,130736,130736,0,1/1,1,电子元件
30,31,002654,万润科技,10.129870414733887,4.24,81967461,2572987968.4,3774693852.1600003,3.2991626262664795,18154204480,131503,131503,0,1/1,1,文化传媒
31,32,300562,乐心医疗,10.035842895507812,15.35,291432000,1627809170.0,2913389307.15,18.54416847229004,12843897600,131642,140036,3,1/1,1,医疗行业
32,33,002156,通富微电,10.027854919433594,15.8,1529329840,18225368050.600002,18228532300.8,8.787903785705566,22418746400,132845,143939,6,1/1,1,电子元件
33,34,002681,奋达科技,9.966776847839355,6.62,1180473968,7146899046.62,13461070716.16,17.377599716186523,50835092540,133000,133054,1,3/2,1,家电行业
34,35,300256,星星科技,9.934853553771973,6.75,722967072,5359476449.25,6466070700.0,14.24370002746582,39282840000,134621,134621,0,1/1,1,塑胶制品
35,36,300400,劲拓股份,10.006670951843262,16.49,652980800,2829112670.97,4023457761.9999995,24.355945587158203,23583998000,140751,141942,4,4/4,4,机械行业
36,37,603197,保隆科技,10.00325870513916,33.76,517166288,3322040649.2799997,5606791490.719999,16.030696868896484,10658707200,142921,143457,2,1/1,1,汽车行业
37,38,300632,光莆股份,10.0,30.03,371433840,1736385380.73,5494979399.91,22.311298370361328,33576873330,143200,143200,0,1/1,1,电子元件
38,39,002655,共达电声,10.0,17.38,1397751280,6256800000.0,6256800000.0,23.58255958557129,29934443000,143315,143854,1,3/2,1,电子元件
39,40,300341,麦克奥迪,9.994539260864258,20.14,1345028384,10264203696.04,10274689748.16,14.064023971557617,67123256620,143800,143800,0,18/11,1,输配电气
40,41,002502,鼎龙文化,9.97150993347168,3.86,394805760,2702156920.58,3318939476.7999997,15.351595878601074,11181262000,144600,144600,0,3/2,1,文化传媒
41,42,600703,三安光电,10.0,19.14,3518740880,78061053121.92,78061053121.92,4.759771823883057,85243377780,145453,145453,0,1/1,1,电子元件
0,1,600367,红星发展,10.0,7.81,58940064,2274272000.0,2327731512.48,2.592118501663208,11658127580,092502,093516,1,1/1,1,化工行业
1,2,000523,广州浪奇,10.09009075164795,6.11,72206004,3830378038.76,3834227363.2000003,1.8865216970443726,29330468440,092503,094012,1,1/1,1,化工行业
2,3,002343,慈文传媒,10.02921199798584,11.3,67876828,4547009373.0,5366931384.0,1.4927796125411987,82174289300,092503,092503,0,4/3,2,文化传媒
3,4,002654,万润科技,9.905660629272461,4.66,130075414,2827859418.1,4148602205.44,4.599783420562744,31021899600,092503,092503,0,2/2,2,文化传媒
4,5,002968,新大正,10.008057594299316,68.26,50559021,1222582129.42,4890328449.42,4.135429382324219,97660742420,092503,092503,0,7/7,7,房地产
5,6,002969,嘉美包装,10.053476333618164,10.29,4563398,980257298.9999999,9802570273.439999,0.46553072333335876,105640443090,092503,092503,0,8/8,8,包装材料
6,7,300063,天龙集团,10.10452938079834,3.16,15160100,1838854294.5600002,2366846168.32,0.824431836605072,35404324000,092503,092503,0,1/1,1,化工行业
7,8,300806,斯迪克,9.997840881347656,50.94,7578140,1487957400.0,5951772496.259999,0.5092982053756714,156688077960,092503,092503,0,13/13,13,材料行业
8,9,300808,久量股份,10.003227233886719,34.09,7204478,1363600000.0000002,5454400000.000001,0.5283424854278564,182383647670,092503,092503,0,9/9,9,电子元件
9,10,300810,中科海讯,10.009332656860352,47.15,1296625,928855000.0,3710705000.0,0.1395939141511917,86204345000,092503,092503,0,4/4,4,电子信息
10,11,600712,南宁百货,10.061920166015625,7.11,9808807,3827168887.4100003,3872499609.6000004,0.2562940716743469,257726984310,092503,092503,0,6/6,6,商业百货
11,12,300079,数码科技,9.922179222106934,5.65,897681472,6992356187.900001,8078420081.6,12.868417739868164,35018293200,093003,141621,8,1/1,1,通讯行业
12,13,300116,坚瑞沃能,10.06289291381836,1.75,48024603,3446546022.5,4256917980.0,1.3947155475616455,20477987250,093003,093003,0,1/1,1,机械行业
13,14,601999,出版传媒,9.94575023651123,6.08,49342167,3349561376.0,3349561400.32,1.4780994653701782,21064318080,093007,093007,0,1/1,1,文化传媒
14,15,300173,智慧松德,10.0,4.95,103703093,2176428558.15,2901593455.2000003,4.783993244171143,15045129000,093145,094354,1,1/1,1,机械行业
15,16,603005,晶方科技,10.0,38.5,893682000,8842659017.5,8842659017.5,10.354558944702148,94566549000,093901,111310,2,2/2,2,电子元件
16,17,300797,钢研纳克,9.985260963439941,29.85,682885488,1852192500.0,7408770000.0,37.6195068359375,45487847850,094336,101124,3,29/19,3,专用设备
17,18,600136,当代明诚,10.050251007080078,10.95,198237642,5331359936.7,5334645002.4,3.8006529808044434,70105195950,094625,094625,0,1/1,1,文化传媒
18,19,002593,日上集团,10.050251007080078,4.38,247587422,2045993834.3999999,3070861800.0,12.408933639526367,22642410000,095112,104048,3,2/2,2,钢铁行业
19,20,002071,长城影视,10.130719184875488,3.37,40616606,1757995379.5,1770698668.64,2.392364740371704,25420600850,095154,095154,0,1/1,1,文化传媒
20,21,002699,美盛文化,9.9827880859375,6.39,128096224,5075181618.75,5812169680.799999,2.6072378158569336,38145079440,095603,095603,0,1/1,1,文教休闲
21,22,300468,四方精创,10.013908386230469,39.55,1258485984,7367495972.2,7473694722.549999,17.42586326599121,48458202450,095751,111830,5,3/2,1,软件服务
22,23,600715,文投控股,9.969788551330566,3.64,100393757,4674486544.0,6751666754.56,2.20727276802063,10929951760,100210,100210,0,1/1,1,文化传媒
23,24,002793,东音股份,10.034903526306152,12.61,103467908,2983901765.39,4522870867.84,3.552564859390259,30547762830,101724,101724,0,1/1,1,机械行业
24,25,000625,长安汽车,10.048425674438477,9.09,690429296,35456849133.21,43656075555.84,1.989925503730774,48731908140,111142,111142,0,1/1,1,汽车行业
25,26,601500,通用股份,9.98389720916748,6.83,41442749,4964857350.55,5957741355.68,0.8558875322341919,25617199040,112300,112300,0,1/1,1,塑胶制品
26,27,603530,神马电力,10.0,23.98,318156832,960266870.2,9593067014.08,34.36162567138672,34937972740,130007,130007,0,1/1,1,输配电气
27,28,002761,多喜爱,10.009532928466797,11.54,268011569,3985500617.7,4002071999.9999995,7.171635150909424,26770745880,130036,130036,0,1/1,1,纺织服装
28,29,002552,宝鼎科技,10.0,28.82,943751600,5768292566.08,8825615923.52,17.13712501525879,68519550000,132109,132109,0,1/1,1,船舶制造
29,30,600620,天宸股份,10.082645416259766,6.66,60313164,4573269572.58,4573269619.2,1.3529891967773438,18367933680,132338,134702,1,1/1,1,综合行业
30,31,300379,东方通,10.004810333251953,45.74,1294166064,10728171866.98,12857569619.84,12.561574935913086,43616749200,133309,140718,1,1/1,1,软件服务
31,32,600052,浙江广厦,10.0,4.73,256148008,4123562405.1600003,4123562386.2400002,6.454244136810303,26664386430,133316,133316,0,1/1,1,房地产
32,33,600812,华北制药,10.026385307312012,8.34,632145376,13600911439.86,13600911498.24,4.880887985229492,108696245820,144639,144639,0,1/1,1,医药制造
33,34,603101,汇嘉时代,10.049627304077148,8.87,95111997,2980319999.9999995,2980319999.9999995,3.3465940952301025,20633571400,144745,144745,0,1/1,1,商业百货
34,35,002231,奥维通信,9.941520690917969,7.52,89252532,2172716000.0,2683136000.0,4.237090110778809,17399776000,145327,145327,0,1/1,1,通讯行业
0,1,600712,南宁百货,9.98593521118164,7.82,335077680,4209347496.42,4259204915.2000003,7.960323333740234,355369827840,092500,092500,0,7/7,7,商业百货
1,2,000523,广州浪奇,9.983633041381836,6.72,81070355,4212788939.52,4217022566.3999996,1.9243868589401245,50445736320,092503,092503,0,2/2,2,化工行业
2,3,002077,大港股份,9.9277982711792,6.09,63372004,3292269681.75,3534322438.08,1.9248727560043335,67509403920,092503,092503,0,1/1,1,房地产
3,4,002968,新大正,10.005860328674316,75.09,409966464,1344911985.03,5379647865.030001,30.50160026550293,96286179930,092503,093018,1,8/8,8,房地产
4,5,002969,嘉美包装,10.00971794128418,11.32,9350342,1078378292.0,10783779931.52,0.8670744299888611,106033285360,092503,092503,0,9/9,9,包装材料
5,6,300810,中科海讯,10.010604858398438,51.87,5634897,1021839000.0,4082169000.0,0.5514466762542725,217146752550,092503,092503,0,5/5,5,电子信息
6,7,600114,东睦股份,10.047096252441406,7.01,37956556,4277232514.5699997,4321595124.32,0.8874092102050781,227690898700,092504,092504,0,1/1,1,金属制品
7,8,600206,有研新材,10.009910583496094,11.1,769864864,9310439485.199999,9398162740.8,8.294428825378418,95452762800,093000,094854,5,1/1,1,材料行业
8,9,600589,广东榕泰,10.06289291381836,5.25,204041245,3696174725.25,3696174720.0,5.549340724945068,6144600000,093002,131812,5,1/1,1,化工行业
9,10,002071,长城影视,10.089020729064941,3.71,160232762,1935359898.5,1949344825.12,8.345043182373047,21593090400,093048,144121,4,2/2,2,文化传媒
10,11,300461,田中精机,10.0,18.81,16510849,1175201248.32,2288093167.7999997,1.430019497871399,22970395800,093200,093200,0,1/1,1,电子元件
11,12,002786,银宝山新,10.012360572814941,8.9,75214904,3379686000.0,3393036000.0,2.2672410011291504,25580380000,093245,093245,0,1/1,1,机械行业
12,13,603005,晶方科技,10.0,42.35,380611680,9726924919.25,9726924919.25,3.9738609790802,92082197900,093317,093353,1,3/3,3,电子元件
13,14,002793,东音股份,9.992070198059082,13.87,222132392,3282055312.1299996,4974799281.28,6.823760509490967,28352984650,093354,101309,7,2/2,2,机械行业
14,15,300706,阿石创,10.013470649719238,24.5,156610349,1513575063.0,3457440000.0,10.511147499084473,31700550000,093654,093654,0,1/1,1,材料行业
15,16,300097,智云股份,9.97652530670166,9.37,70915513,1891278664.1699998,2703710351.68,3.8456790447235107,41583657090,093757,093757,0,1/1,1,机械行业
16,17,300456,耐威科技,10.0,18.7,401734512,6059359859.3,12003503371.199999,6.746425151824951,18202823100,094012,100054,4,1/1,1,航天航空
17,18,000823,超声电子,10.028116226196289,11.74,1050709792,6303446810.88,6303980840.0,16.920175552368164,9459645880,095100,145624,12,1/1,1,电子元件
18,19,002870,香山股份,10.017049789428711,25.81,252576924,1035497200.0,2856392700.0,24.95612907409668,18911116050,095330,100133,3,1/1,1,仪器仪表
19,20,603006,联明股份,10.040567398071289,10.85,34664270,2073198318.1,2073198318.1,1.7176257371902466,14830865000,095527,095527,0,1/1,1,汽车行业
20,21,002806,华锋股份,10.023309707641602,14.16,41978930,1382626777.44,2495547100.32,3.0925512313842773,27456438240,100112,100112,0,1/1,1,电子元件
21,22,603101,汇嘉时代,10.033822059631348,9.76,165416720,3279360000.0,3279360000.0,5.1073899269104,36528176160,100114,104557,5,2/2,2,商业百货
22,23,002897,意华股份,9.991459846496582,25.76,444379968,1742709440.64,4396510720.0,26.08786964416504,50317523200,101057,135654,2,1/1,1,电子元件
23,24,002800,天顺股份,9.996140480041504,28.5,163453921,2034864375.0,2128380000.0,8.33922004699707,39147600000,103151,103151,0,1/1,1,交运物流
